煙囪編號,所屬公司,經度,緯度
P001,岦陞股份有限公司,121.0589129,25.03579201
P002,觀音生質能中心,121.054832,25.034757
P003,弘馳股份有限公司 桃園環科廠,121.0564611,25.03400842
P004,樺奕塑膠工業有限公司,121.056145,25.03326
P005,堡喬科技股份有限公司,121.0573342,25.03374722
P006,冠柏環保科技有限公司,121.0570669,25.03344227
P007,Tech-Zone台鎔科技材料股份有限公司,121.0581137,25.03440489
P008,萬嘉環保工業股份有限公司,121.0573426,25.03452627
P009,永成環科股份有限公司,121.0584829,25.03491434
P010,大園汽電共生股份有限公司再生資源廠,121.0599206,25.03562226
P011,尚達化工科技股份有限公司,121.060489,25.03589164
P012,秀霖環境科技,121.0611273,25.03701934
P013,佳龍科技工程股份有限公司-環科廠,121.0614196,25.03795173
P014,臺灣永光化學公司第四廠,121.0651331,25.03831781
P015,沛斯可有限公司 | ANTRC INDUSTRIAL CORP.,121.0681858,25.03963601
P016,永吉化工股份有限公司,121.0699067,25.04013764
P017,台灣電力公司 大潭發電廠,121.0467306,25.02584537
P018,遠東紡織股份有限公司觀音紡織工廠,121.0873999,25.03373128
,,,
,,,
,,,
,,,
,,,
,,,